"description","Overall Mean","Overall SE","Tumor Mean","Tumor Var","Tumor SE","Tumor Ng","Non-Tumor Mean","Non-Tumor Var","Non-Tumor SE","Non-Tumor Ng","SEpooled","t","df","p.x","fdr_p.x","Est","SE","p.y","fdr_p.y"
"UDP-glucose 6-dehydrogenase",0.912680052378874,0.135597025757058,0.797559681697613,2.08607822647032,0.179146619215844,65,0.993140526510938,3.49048195590747,0.193731938621426,93,0.263866586021198,-0.741211108850338,154.360819860743,0.459691578324149,0.579333573480432,-0.219315503320071,0.307798009487668,0.477200631022435,0.634608817661025
"Phosphoribosylglycinamide formyltransferase",0.912636403317329,0.135598840440183,0.797453580901857,2.08624415759627,0.179153743926884,65,0.993140526510938,3.49048195590747,0.193731938621426,93,0.263871423244419,-0.74159961394463,154.359554805217,0.459456780229434,0.579333573480432,-0.219448543964184,0.307822285354695,0.476968566092831,0.634608817661025
"Ribonuclease III",0.909290235081374,0.131668817316956,0.795714285714286,1.80479400510204,0.166631514477167,65,0.988671274961598,3.40350338943432,0.191302928987192,93,0.253698388359156,-0.760576330402802,155.712319904803,0.448060321131954,0.579333573480432,-0.217121711273905,0.299071739677181,0.468935521782884,0.634608817661025
"3-methyl-2-oxobutanoate hydroxymethyltransferase",0.908612115732369,0.131223789901144,0.797362637362637,1.80623257211538,0.166697910656252,65,0.98636712749616,3.37158522244803,0.190403793403524,93,0.253064809800991,-0.746862000616185,155.640174275521,0.456273617059825,0.579333573480432,-0.212719047288865,0.298214704755052,0.476720675086249,0.634608817661025
"Aspartate 1-decarboxylase",0.908612115732369,0.131223789901144,0.797362637362637,1.80623257211538,0.166697910656252,65,0.98636712749616,3.37158522244803,0.190403793403524,93,0.253064809800991,-0.746862000616185,155.640174275521,0.456273617059825,0.579333573480432,-0.212719047288865,0.298214704755052,0.476720675086249,0.634608817661025
"Pantoate--beta-alanine ligase (AMP-forming)",0.908612115732369,0.131223789901144,0.797362637362637,1.80623257211538,0.166697910656252,65,0.98636712749616,3.37158522244803,0.190403793403524,93,0.253064809800991,-0.746862000616185,155.640174275521,0.456273617059825,0.579333573480432,-0.212719047288865,0.298214704755052,0.476720675086249,0.634608817661025
"Phosphopantothenate--cysteine ligase",0.908612115732369,0.131223789901144,0.797362637362637,1.80623257211538,0.166697910656252,65,0.98636712749616,3.37158522244803,0.190403793403524,93,0.253064809800991,-0.746862000616185,155.640174275521,0.456273617059825,0.579333573480432,-0.212719047288865,0.298214704755052,0.476720675086249,0.634608817661025
"Phosphopantothenoylcysteine decarboxylase",0.908612115732369,0.131223789901144,0.797362637362637,1.80623257211538,0.166697910656252,65,0.98636712749616,3.37158522244803,0.190403793403524,93,0.253064809800991,-0.746862000616185,155.640174275521,0.456273617059825,0.579333573480432,-0.212719047288865,0.298214704755052,0.476720675086249,0.634608817661025
"UDP-glucose 4-epimerase",0.908533391532082,0.128900182535407,0.782705570291777,1.72754254321778,0.163026309496246,65,0.996477567667779,3.25920590872528,0.18720369874819,93,0.248239405439525,-0.861152551495617,155.715143535051,0.390478115357528,0.579333573480432,-0.241470030728119,0.293763106912188,0.412337734475886,0.634608817661025
"16S rRNA (cytidine(1402)-2'-O)-methyltransferase",0.908489742470537,0.128902082553068,0.782599469496021,1.72770527302662,0.163033987632906,65,0.996477567667779,3.25920590872528,0.18720369874819,93,0.248244447971127,-0.861562463611005,155.714518687395,0.390253124839634,0.579333573480432,-0.241605596375992,0.293786745094662,0.41211346773593,0.634608817661025
